訂單編號,產品系列,數量,預估交期
220901004,USB3.0,1510,2022/9/9
220901005,USB3.0,510,2022/9/13
220901006,USB3.0,540,2022/9/14
220901007,USB3.0,525,2022/9/15
220901008,USB3.0,550,2022/9/16
220901009,USB3.0,530,2022/9/20
220901010,USB3.0,320,2022/9/21
220901011,USB3.0,750,2022/9/22
220901012,USB3.0,510,2022/9/23
220901013,USB3.0,230,2022/9/27
220901014,USB3.0,280,2022/9/28
220901015,USB3.0,220,2022/9/29
220901016,USB3.0,270,2022/9/30
221001001,USB3.0,2530,2022/10/4
221001002,USB3.0,2550,2022/10/5
221001003,USB3.0,2010,2022/10/6
221001004,USB3.0,3030,2022/10/7
221001005,USB3.0,540,2022/10/11
221001006,USB3.0,620,2022/10/12
221001007,USB3.0,505,2022/10/13
221001008,USB3.0,420,2022/10/14
221001009,USB3.0,1030,2022/10/18
221001010,USB3.0,630,2022/10/19
221001011,USB3.0,450,2022/10/20
221001012,USB3.0,2010,2022/10/21
221001013,USB3.0,1330,2022/10/25
221001014,USB3.0,1710,2022/10/26
221001015,USB3.0,220,2022/10/27
221001016,USB3.0,850,2022/10/28
220101001,GIGE,120,2022/1/11
220101002,GIGE,100,2022/1/12
220101003,GIGE,230,2022/1/13
220101004,GIGE,110,2022/1/14
220101005,GIGE,200,2022/1/18
220101006,GIGE,300,2022/1/19
220101007,GIGE,255,2022/1/20
220101008,GIGE,250,2022/1/21
220101009,GIGE,210,2022/1/25
220101010,GIGE,310,2022/1/26
220101011,GIGE,100,2022/1/27
220101012,GIGE,410,2022/1/28
220201001,GIGE,50,2022/2/1
220201002,GIGE,60,2022/2/2
220201003,GIGE,40,2022/2/3
220201004,GIGE,150,2022/2/4
220201005,GIGE,80,2022/2/8
220201006,GIGE,20,2022/2/9
220201007,GIGE,70,2022/2/10
220201008,GIGE,130,2022/2/11
220201009,GIGE,250,2022/2/15
220201010,GIGE,240,2022/2/16
220201011,GIGE,260,2022/2/17
220201012,GIGE,250,2022/2/18
220201013,GIGE,220,2022/2/22
220201014,GIGE,280,2022/2/23
220201015,GIGE,250,2022/2/24
220201016,GIGE,250,2022/2/25
220301001,GIGE,20,2022/3/1
220301002,GIGE,30,2022/3/2
220301003,GIGE,100,2022/3/3
220301004,GIGE,110,2022/3/4
220301005,GIGE,100,2022/3/8
220301006,GIGE,100,2022/3/9
220301007,GIGE,10,2022/3/10
220301008,GIGE,40,2022/3/11
220301009,GIGE,30,2022/3/15
220301010,GIGE,70,2022/3/16
220301011,GIGE,100,2022/3/17
220301012,GIGE,50,2022/3/18
220301013,GIGE,60,2022/3/22
220301014,GIGE,40,2022/3/23
220301015,GIGE,50,2022/3/24
220301016,GIGE,100,2022/3/25
220401001,GIGE,140,2022/4/5
220401002,GIGE,160,2022/4/6
220401003,GIGE,100,2022/4/7
220401004,GIGE,100,2022/4/8
220401005,GIGE,250,2022/4/12
220401006,GIGE,255,2022/4/13
220401007,GIGE,275,2022/4/14
220401008,GIGE,230,2022/4/15
220401009,GIGE,240,2022/4/19
220401010,GIGE,260,2022/4/20
220401011,GIGE,280,2022/4/21
220401012,GIGE,220,2022/4/22
220401013,GIGE,210,2022/4/26
220401014,GIGE,220,2022/4/27
220401015,GIGE,290,2022/4/28
220401016,GIGE,280,2022/4/29
220501001,GIGE,530,2022/5/3
220501002,GIGE,510,2022/5/4
220501003,GIGE,520,2022/5/5
220501004,GIGE,210,2022/5/6
220501005,GIGE,220,2022/5/10
220501006,GIGE,210,2022/5/11
220501007,GIGE,295,2022/5/12
220501008,GIGE,280,2022/5/13
220501009,GIGE,230,2022/5/17
220501010,GIGE,270,2022/5/18
220501011,GIGE,250,2022/5/19
220501012,GIGE,250,2022/5/20
220501013,GIGE,220,2022/5/24
220501014,GIGE,280,2022/5/25
220501015,GIGE,320,2022/5/26
220501016,GIGE,180,2022/5/27
220601001,GIGE,20,2022/6/3
220601002,GIGE,30,2022/6/4
220601003,GIGE,50,2022/6/5
220601004,GIGE,50,2022/6/9
220601005,GIGE,140,2022/6/10
220601006,GIGE,160,2022/6/11
220601007,GIGE,100,2022/6/12
220601008,GIGE,100,2022/6/16
220601009,GIGE,110,2022/6/20
220601010,GIGE,190,2022/6/21
220601011,GIGE,80,2022/6/22
220601012,GIGE,120,2022/6/23
220601013,GIGE,160,2022/6/26
220601014,GIGE,40,2022/6/27
220601015,GIGE,180,2022/6/28
220601016,GIGE,120,2022/6/29
220701001,GIGE,60,2022/7/5
220701002,GIGE,40,2022/7/6
220701003,GIGE,25,2022/7/7
220701004,GIGE,30,2022/7/8
220701005,GIGE,30,2022/7/12
220701006,GIGE,79,2022/7/13
220701007,GIGE,15,2022/7/14
220701008,GIGE,35,2022/7/15
220701009,GIGE,230,2022/7/19
220701010,GIGE,270,2022/7/20
220701011,GIGE,100,2022/7/21
220701012,GIGE,100,2022/7/22
220701013,GIGE,210,2022/7/26
220701014,GIGE,90,2022/7/27
220701015,GIGE,80,2022/7/28
220701016,GIGE,120,2022/7/29
220801001,GIGE,30,2022/8/2
220801002,GIGE,70,2022/8/3
220801003,GIGE,40,2022/8/4
220801004,GIGE,60,2022/8/5
220801005,GIGE,40,2022/8/9
220801006,GIGE,150,2022/8/10
220801007,GIGE,10,2022/8/11
220801008,GIGE,100,2022/8/12
220801009,GIGE,310,2022/8/16
220801010,GIGE,220,2022/8/17
220801011,GIGE,250,2022/8/18
220801012,GIGE,260,2022/8/19
220801013,GIGE,260,2022/8/23
220801014,GIGE,240,2022/8/24
220801015,GIGE,220,2022/8/25
220801016,GIGE,280,2022/8/26
220901001,GIGE,150,2022/9/6
220901002,GIGE,50,2022/9/7
220901003,GIGE,220,2022/9/8
220901004,GIGE,80,2022/9/9
220901005,GIGE,110,2022/9/13
220901006,GIGE,90,2022/9/14
220901007,GIGE,110,2022/9/15
220901008,GIGE,190,2022/9/16
220901009,GIGE,230,2022/9/20
220901010,GIGE,170,2022/9/21
220901011,GIGE,40,2022/9/22
220901012,GIGE,60,2022/9/23
220901013,GIGE,100,2022/9/27
220901014,GIGE,180,2022/9/28
220901015,GIGE,120,2022/9/29
220901016,GIGE,100,2022/9/30
221001001,GIGE,153,2022/10/4
221001002,GIGE,155,2022/10/5
221001003,GIGE,100,2022/10/6
221001004,GIGE,130,2022/10/7
221001005,GIGE,140,2022/10/11
221001006,GIGE,160,2022/10/12
221001007,GIGE,300,2022/10/13
221001008,GIGE,150,2022/10/14
221001009,GIGE,30,2022/10/18
221001010,GIGE,170,2022/10/19
221001011,GIGE,150,2022/10/20
221001012,GIGE,160,2022/10/21
221001013,GIGE,130,2022/10/25
221001014,GIGE,170,2022/10/26
221001015,GIGE,10,2022/10/27
221001016,GIGE,190,2022/10/28
220501001,USB2.0,50200,2022/5/3
220501002,USB2.0,50200,2022/5/4
220501003,USB2.0,40000,2022/5/5
220501004,USB2.0,32100,2022/5/6
220501005,USB2.0,35400,2022/5/10
220501006,USB2.0,15300,2022/5/11
220501007,USB2.0,15050,2022/5/12
220501008,USB2.0,35200,2022/5/13
220501009,USB2.0,25300,2022/5/17
220501010,USB2.0,25500,2022/5/18
220501011,USB2.0,27500,2022/5/19
220501012,USB2.0,23100,2022/5/20
220501013,USB2.0,26300,2022/5/24
220501014,USB2.0,24100,2022/5/25
220501015,USB2.0,23200,2022/5/26
220501016,USB2.0,27500,2022/5/27
220601001,USB2.0,5200,2022/6/3
220601002,USB2.0,10600,2022/6/4
220601003,USB2.0,7000,2022/6/5
220601004,USB2.0,3100,2022/6/9
220601005,USB2.0,170,02022-06-10
220601006,USB2.0,8300,2022/6/11
220601007,USB2.0,10050,2022/6/12
220601008,USB2.0,5100,2022/6/16
220601009,USB2.0,40300,2022/6/20
220601010,USB2.0,10200,2022/6/21
220601011,USB2.0,27500,2022/6/22
220601012,USB2.0,23100,2022/6/23
220601013,USB2.0,36300,2022/6/26
220601014,USB2.0,14100,2022/6/27
220601015,USB2.0,28200,2022/6/28
220601016,USB2.0,22500,2022/6/29
220701001,USB2.0,35600,2022/7/5
220701002,USB2.0,35600,2022/7/6
220701003,USB2.0,3000,2022/7/7
220701004,USB2.0,5000,2022/7/8
220701005,USB2.0,16400,2022/7/12
220701006,USB2.0,14200,2022/7/13
220701007,USB2.0,10050,2022/7/14
220701008,USB2.0,10200,2022/7/15
220701009,USB2.0,10300,2022/7/19
220701010,USB2.0,13300,2022/7/20
220701011,USB2.0,17500,2022/7/21
220701012,USB2.0,10900,2022/7/22
220701013,USB2.0,16300,2022/7/26
220701014,USB2.0,14100,2022/7/27
220701015,USB2.0,10200,2022/7/28
220701016,USB2.0,10500,2022/7/29
220801001,USB2.0,30300,2022/8/2
220801002,USB2.0,20600,2022/8/3
220801003,USB2.0,10300,2022/8/4
220801004,USB2.0,10200,2022/8/5
220801005,USB2.0,28400,2022/8/9
220801006,USB2.0,22300,2022/8/10
220801007,USB2.0,16050,2022/8/11
220801008,USB2.0,34200,2022/8/12
220801009,USB2.0,30300,2022/8/16
220801010,USB2.0,20200,2022/8/17
220801011,USB2.0,17100,2022/8/18
220801012,USB2.0,23100,2022/8/19
220801013,USB2.0,36300,2022/8/23
220801014,USB2.0,24100,2022/8/24
220801015,USB2.0,20200,2022/8/25
220801016,USB2.0,20000,2022/8/26
220901001,USB2.0,30100,2022/9/6
220901002,USB2.0,20500,2022/9/7
220901003,USB2.0,20300,2022/9/8
220901004,USB2.0,20100,2022/9/9
220901005,USB2.0,25100,2022/9/13
220901006,USB2.0,25400,2022/9/14
220901007,USB2.0,25250,2022/9/15
220901008,USB2.0,25500,2022/9/16
220901009,USB2.0,25300,2022/9/20
220901010,USB2.0,23200,2022/9/21
220901011,USB2.0,27500,2022/9/22
220901012,USB2.0,25100,2022/9/23
220901013,USB2.0,28300,2022/9/27
220901014,USB2.0,22800,2022/9/28
220901015,USB2.0,23200,2022/9/29
220901016,USB2.0,27700,2022/9/30
221001001,USB2.0,2500,2022/10/4
221001002,USB2.0,2500,2022/10/5
221001003,USB2.0,1000,2022/10/6
221001004,USB2.0,1000,2022/10/7
221001005,USB2.0,35400,2022/10/11
221001006,USB2.0,25200,2022/10/12
221001007,USB2.0,15050,2022/10/13
221001008,USB2.0,15200,2022/10/14
221001009,USB2.0,14300,2022/10/18
221001010,USB2.0,36300,2022/10/19
221001011,USB2.0,24500,2022/10/20
221001012,USB2.0,26100,2022/10/21
221001013,USB2.0,23300,2022/10/25
221001014,USB2.0,27100,2022/10/26
221001015,USB2.0,22200,2022/10/27
221001016,USB2.0,28500,2022/10/28
220501001,其他,19818,2022/5/3
220501002,其他,68921,2022/5/4
220501003,其他,8844,2022/5/5
220501004,其他,4992,2022/5/6
220501005,其他,34593,2022/5/10
220501006,其他,3109,2022/5/11
220501007,其他,14748,2022/5/12
220501008,其他,64071,2022/5/13
220501009,其他,50009,2022/5/17
220501010,其他,48736,2022/5/18
220501011,其他,8117,2022/5/19
220501012,其他,19891,2022/5/20
220501013,其他,27552,2022/5/24
220501014,其他,64385,2022/5/25
220501015,其他,27099,2022/5/26
220501016,其他,20807,2022/5/27
220601001,其他,38252,2022/6/3
220601002,其他,79787,2022/6/4
220601003,其他,656,2022/6/5
220601004,其他,13953,2022/6/9
220601005,其他,98596,2022/06/10
220601006,其他,23448,2022/6/11
220601007,其他,10835,2022/6/12
220601008,其他,6423,2022/6/16
220601009,其他,30687,2022/6/20
220601010,其他,20124,2022/6/21
220601011,其他,35601,2022/6/22
220601012,其他,64503,2022/6/23
220601013,其他,76767,2022/6/26
220601014,其他,45749,2022/6/27
220601015,其他,10658,2022/6/28
220601016,其他,8971,2022/6/29
220701001,其他,114095,2022/7/5
220701002,其他,1923,2022/7/6
220701003,其他,11593,2022/7/7
220701004,其他,5131,2022/7/8
220701005,其他,93986,2022/7/12
220701006,其他,7016,2022/7/13
220701007,其他,10889,2022/7/14
220701008,其他,10792,2022/7/15
220701009,其他,53077,2022/7/19
220701010,其他,19419,2022/7/20
220701011,其他,13267,2022/7/21
220701012,其他,23358,2022/7/22
220701013,其他,51107,2022/7/26
220701014,其他,7996,2022/7/27
220701015,其他,7484,2022/7/28
220701016,其他,49548,2022/7/29
220801001,其他,18299,2022/8/2
220801002,其他,86397,2022/8/3
220801003,其他,17669,2022/8/4
220801004,其他,382,2022/8/5
220801005,其他,42520,2022/8/9
220801006,其他,21036,2022/8/10
220801007,其他,21014,2022/8/11
220801008,其他,49275,2022/8/12
220801009,其他,41499,2022/8/16
220801010,其他,75488,2022/8/17
220801011,其他,784,2022/8/18
220801012,其他,4245,2022/8/19
220801013,其他,85893,2022/8/23
220801014,其他,2667,2022/8/24
220801015,其他,3243,2022/8/25
220801016,其他,17943,2022/8/26
220901001,其他,80135,2022/9/6
220901002,其他,13985,2022/9/7
220901003,其他,662,2022/9/8
220901004,其他,4501,2022/9/9
220901005,其他,84606,2022/9/13
220901006,其他,1641,2022/9/14
220901007,其他,990,2022/9/15
220901008,其他,3131,2022/9/16
220901009,其他,84797,2022/9/20
220901010,其他,5418,2022/9/21
220901011,其他,3768,2022/9/22
220901012,其他,6414,2022/9/23
220901013,其他,84216,2022/9/27
220901014,其他,4674,2022/9/28
220901015,其他,582,2022/9/29
220901016,其他,1272,2022/9/30
221001001,其他,72905,2022/10/4
221001002,其他,293,2022/10/5
221001003,其他,5880,2022/10/6
221001004,其他,2090,2022/10/7
221001005,其他,49077,2022/10/11
221001006,其他,5902,2022/10/12
221001007,其他,6459,2022/10/13
221001008,其他,13661,2022/10/14
221001009,其他,48290,2022/10/18
221001010,其他,10987,2022/10/19
221001011,其他,8945,2022/10/20
221001012,其他,19148,2022/10/21
221001013,其他,55586,2022/10/25
221001014,其他,41286,2022/10/26
221001015,其他,255,2022/10/27
221001016,其他,432,2022/10/28
220501001,Unknown,154367,2022/5/3
220501002,Unknown,85536,2022/5/4
220501003,Unknown,86359,2022/5/5
220501004,Unknown,27758,2022/5/6
220501005,Unknown,148999,2022/5/10
220501006,Unknown,157058,2022/5/11
220501007,Unknown,121180,2022/5/12
220501008,Unknown,25936,2022/5/13
220501009,Unknown,496995,2022/5/17
220501010,Unknown,4002,2022/5/18
220501011,Unknown,16324,2022/5/19
220501012,Unknown,1363,2022/5/20
220501013,Unknown,256012,2022/5/24
220501014,Unknown,219192,2022/5/25
220501015,Unknown,4915,2022/5/26
220501016,Unknown,118825,2022/5/27
220601001,Unknown,214124,2022/6/3
220601002,Unknown,56516,2022/6/4
220601003,Unknown,58985,2022/6/5
220601004,Unknown,334661,2022/6/9
220601005,Unknown,198464,2022/06/10
220601006,Unknown,126088,2022/6/11
220601007,Unknown,94796,2022/6/12
220601008,Unknown,299697,2022/6/16
220601009,Unknown,348804,2022/6/20
220601010,Unknown,261997,2022/6/21
220601011,Unknown,15761,2022/6/22
220601012,Unknown,18134,2022/6/23
220601013,Unknown,440543,2022/6/26
220601014,Unknown,225092,2022/6/27
220601015,Unknown,14869,2022/6/28
220601016,Unknown,34937,2022/6/29
220701001,Unknown,500496,2022/7/5
220701002,Unknown,80237,2022/7/6
220701003,Unknown,27739,2022/7/7
220701004,Unknown,30774,2022/7/8
220701005,Unknown,673790,2022/7/12
220701006,Unknown,20572,2022/7/13
220701007,Unknown,4149,2022/7/14
220701008,Unknown,4021,2022/7/15
220701009,Unknown,375470,2022/7/19
220701010,Unknown,153211,2022/7/20
220701011,Unknown,52178,2022/7/21
220701012,Unknown,202926,2022/7/22
220701013,Unknown,435578,2022/7/26
220701014,Unknown,46528,2022/7/27
220701015,Unknown,115853,2022/7/28
220701016,Unknown,107611,2022/7/29
220801001,Unknown,139761,2022/8/2
220801002,Unknown,86124,2022/8/3
220801003,Unknown,99839,2022/8/4
220801004,Unknown,304977,2022/8/5
220801005,Unknown,209967,2022/8/9
220801006,Unknown,334695,2022/8/10
220801007,Unknown,844,2022/8/11
220801008,Unknown,792,2022/8/12
220801009,Unknown,393041,2022/8/16
220801010,Unknown,55734,2022/8/17
220801011,Unknown,98542,2022/8/18
220801012,Unknown,69614,2022/8/19
220801013,Unknown,186493,2022/8/23
220801014,Unknown,102828,2022/8/24
220801015,Unknown,148724,2022/8/25
220801016,Unknown,123399,2022/8/26
220901001,Unknown,482227,2022/9/6
220901002,Unknown,153421,2022/9/7
220901003,Unknown,858,2022/9/8
220901004,Unknown,11135,2022/9/9
220901005,Unknown,615367,2022/9/13
220901006,Unknown,44524,2022/9/14
220901007,Unknown,48262,2022/9/15
220901008,Unknown,36249,2022/9/16
220901009,Unknown,324211,2022/9/20
220901010,Unknown,96414,2022/9/21
220901011,Unknown,130769,2022/9/22
220901012,Unknown,106832,2022/9/23
220901013,Unknown,584126,2022/9/27
220901014,Unknown,92412,2022/9/28
220901015,Unknown,46016,2022/9/29
220901016,Unknown,16760,2022/9/30
221001001,Unknown,516064,2022/10/4
221001002,Unknown,10170,2022/10/5
221001003,Unknown,133270,2022/10/6
221001004,Unknown,166942,2022/10/7
221001005,Unknown,27336,2022/10/11
221001006,Unknown,279181,2022/10/12
221001007,Unknown,476895,2022/10/13
221001008,Unknown,127468,2022/10/14
221001009,Unknown,6353,2022/10/18
221001010,Unknown,935517,2022/10/19
221001011,Unknown,23115,2022/10/20
221001012,Unknown,26839,2022/10/21
221001013,Unknown,358281,2022/10/25
221001014,Unknown,302978,2022/10/26
221001015,Unknown,124978,2022/10/27
221001016,Unknown,134477,2022/10/28
